suburb,address,property_type,method,seller,distance,postcode,sale_date,buy_price,bedrooms,bathrooms,carspaces,landsize,year_built,latitude,longitude
Abbotsford,85 Turner St,h,S,Biggin,2.5,3067,2016-12-03,1480000,2,1,1,202,,-37.7996,144.9984
Abbotsford,25 Bloomburg St,h,S,Biggin,2.5,3067,2016-02-04,1035000,2,1,0,156,1900,-37.8079,144.9934
Abbotsford,5 Charles St,h,SP,Biggin,2.5,3067,2017-03-04,1465000,3,2,0,134,1900,-37.8093,144.9944
Abbotsford,40 Federation La,h,PI,Biggin,2.5,3067,2017-03-04,850000,3,2,1,94,,-37.7969,144.9969
Abbotsford,55a Park St,h,VB,Nelson,2.5,3067,2016-06-04,1600000,4,1,2,120,2014,-37.8072,144.9941
Abbotsford,129 Charles St,h,S,Jellis,2.5,3067,2016-05-07,941000,2,1,0,181,,-37.8041,144.9953
Abbotsford,124 Yarra St,h,S,Nelson,2.5,3067,2016-05-07,1876000,3,2,0,245,1910,-37.8024,144.9993
Abbotsford,98 Charles St,h,S,Nelson,2.5,3067,2016-10-08,1636000,2,1,2,256,1890,-37.806,144.9954
Abbotsford,6/241 Nicholson St,u,S,Biggin,2.5,3067,2016-10-08,300000,1,1,1,,,-37.8008,144.9973
Abbotsford,10 Valiant St,h,S,Biggin,2.5,3067,2016-10-08,1097000,2,1,2,220,1900,-37.801,144.9989
Abbotsford,411/8 Grosvenor St,u,VB,Jellis,2.5,3067,2016-11-12,700000,2,2,1,,,-37.811,145.0067
Abbotsford,40 Nicholson St,h,VB,Nelson,2.5,3067,2016-11-12,1350000,3,2,2,214,2005,-37.8085,144.9964
Abbotsford,123/56 Nicholson St,u,S,Biggin,2.5,3067,2016-11-12,750000,2,2,1,,2009,-37.8078,144.9965
Abbotsford,45 William St,h,S,Biggin,2.5,3067,2016-08-13,1172500,2,1,1,195,,-37.8084,144.9973
Abbotsford,7/20 Abbotsford St,u,SP,Greg,2.5,3067,2016-05-14,441000,1,1,1,,,-37.8016,144.9988
Abbotsford,16 William St,h,S,Jellis,2.5,3067,2016-10-15,1310000,2,1,2,238,1890,-37.809,144.9976
Abbotsford,42 Henry St,h,S,Jellis,2.5,3067,2016-07-16,1200000,3,2,1,113,1880,-37.8056,144.993
Abbotsford,78 Yarra St,h,S,LITTLE,2.5,3067,2016-07-16,1176500,3,1,1,138,1890,-37.8021,144.9965
Abbotsford,196 Nicholson St,h,S,Collins,2.5,3067,2016-09-17,955000,3,1,0,183,,-37.8022,144.9975
Abbotsford,42 Valiant St,h,S,Biggin,2.5,3067,2016-09-17,890000,2,1,1,150,1985,-37.8011,145.0004
Abbotsford,3/72 Charles St,h,PI,Kay,2.5,3067,2017-03-18,1330000,4,2,2,780,1900,-37.8073,144.9952
