suburb,address,listing_type,property_type,postcode,buy_price,rent_price,bedrooms,bathrooms,carspaces,landsize,year_built,latitude,longitude,features
South Yarra,334 Punt Rd,buy,house,3141,1800000,,3,2,3,510,1900,-37.8418,144.986,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Preston,66 McNamara St,buy,house,3072,1148000,,4,1,2,552,1940,-37.72879,144.98538,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Heidelberg West,59 Alamein Rd,buy,house,3081,532000,,3,1,1,390,1955,-37.7369,145.0422,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Surrey Hills,52 Park Rd,buy,house,3127,2000000,,5,3,2,735,1945,-37.83583,145.10664,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glen Iris,56 Gardiner Pde,buy,house,3146,2175000,,5,3,4,619,2003,-37.8554,145.0611,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Abbotsford,45 Yarra St,buy,house,3067,1195000,,3,2,1,120,1998,-37.8022,144.9954,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Coburg North,10 Shore Gr,buy,townhouse,3058,830000,,3,2,2,275,2008,-37.73156,144.97087,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Albert Park,29 Faussett St,buy,house,3206,2120000,,2,1,1,199,1900,-37.8422,144.9554,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,2/33 Ashley St,buy,townhouse,3073,380000,,2,1,1,83,2010,-37.7171,145.0019,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Pascoe Vale,17 Prospect St,buy,house,3044,880000,,3,2,2,588,1960,-37.7283,144.9356,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Mordialloc,1/73 Chute St,buy,house,3195,920000,,4,2,2,413,1975,-37.99906,145.09386,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Coburg North,45 Shorts Rd,buy,house,3058,720000,,3,1,2,499,1970,-37.7236,144.9576,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Yarraville,9/11 Berry St,buy,house,3013,955000,,3,2,2,206,2006,-37.8127,144.8965,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh East,48a Celia St,buy,townhouse,3165,1250000,,4,2,2,314,2010,-37.9299,145.0598,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Fitzroy North,26 Scotchmer St,buy,townhouse,3068,1600000,,3,3,1,188,2000,-37.7829,144.9788,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Kingsbury,24 Stymie St,buy,house,3083,1000000,,5,2,2,544,2000,-37.7147,145.0296,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brighton East,7 Tuxen Ct,buy,house,3187,2050000,,5,3,3,669,1970,-37.9289,145.0284,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Deepdene,1/5 Leonard St,buy,townhouse,3103,1680000,,4,2,1,254,1995,-37.81007,145.06792,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Hoppers Crossing,22 Roseland Cr,buy,house,3029,520000,,3,1,2,538,1980,-37.88531,144.68431,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Lalor,60 Dickens St,buy,house,3075,798000,,3,1,2,806,1964,-37.66871,145.01,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,15 Ellendale St,buy,townhouse,3104,1150000,,3,2,1,207,2003,-37.7893,145.092,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Heathmont,22 Orchard Gr,buy,house,3135,901000,,3,2,2,678,1975,-37.83637,145.24246000000005,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Newport,5/67 Oxford St,buy,house,3015,680000,,2,1,1,229,2000,-37.8368,144.8768,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brighton,119 North Rd,buy,house,3186,3050000,,4,4,2,578,1995,-37.8989,145.0008,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Pascoe Vale,5 Fleming Gr,buy,house,3044,1501000,,5,3,3,681,1960,-37.72565,144.94953999999996,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Northcote,65 Bastings St,buy,house,3070,1310000,,3,2,1,267,1920,-37.7744,145.0033,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Airport West,2/40 Earl St,buy,townhouse,3042,700000,,3,2,2,165,2009,-37.727,144.887,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Hadfield,8 Sherwood St,buy,house,3046,630000,,3,1,1,604,1970,-37.7124,144.9514,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hawthorn,16 Pine St,buy,house,3122,1712000,,3,1,1,342,1900,-37.814,145.0212,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Craigieburn,1 Consort Pl,buy,house,3064,615000,,4,2,2,756,2001,-37.5729,144.93663,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Albion,26 Wyalong St,buy,house,3020,800000,,3,2,5,689,1951,-37.7776,144.8167,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Elsternwick,21 Liscard St,buy,house,3185,1800000,,3,2,2,492,1905,-37.8789,145.0048,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Maribyrnong,6/4 Belvedere Cl,buy,house,3032,780000,,3,3,2,173,2000,-37.773,144.8947,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Pascoe Vale,1/94 Railway Pde,buy,townhouse,3044,605000,,4,2,1,215,1990,-37.7247,144.9257,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Sunshine West,24 Hilma St,buy,house,3020,682000,,4,1,2,534,1970,-37.79161,144.80461,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Frankston North,17 Windoo St,buy,house,3200,611000,,3,2,1,691,1960,-38.11948,145.14928,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glenroy,2/15 Ogden St,buy,townhouse,3046,525000,,3,1,1,194,2011,-37.70168,144.94862,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
